ID,kashmiri_text
57,کینٛہہ لوٗکھ چھِ فِکر مَنٛد زِ ٹؠکس بَڈن سٟتۍ گَژھِ مٲشیت کَمزور۔
58,تِم چھِ سٲری واریاہ غَریٖب۔
59,آب کَنٹرول کَرنہِ خٲطرہ بَنٲوِو نَوِ پؠٹھ اکھ بَنٛد۔
60,تٔمِس ہِنٛزِ موجہِ تھوۍ تٔمِس پؠٹھ نَظر۔
61,فٲج خٲطرہ اوس مُشکِل دُشمنَس سٟتۍ لَڑُن۔
62,بَچہٕ چھِ خاندانس مَنز پوشَن ہِش۔
63,شہزادہ ایڈورڈ سُنٛد کھانٛدَر وُچھ ساسَو لوٗکَو۔
64,کَمَرُک فَرش پَزِ صٲف تھون۔
65,تٔمِہ دِیوت ڈرایِوَرَس کرایہِ۔
66,میہ چھُ آن لائن لائبریری تام رَسائی۔
67,فٲجَن کٔر راتس مَنز ندی پار۔
68,اُستاد سُنٛد بَیان اوس شدیٖد شَرارَت سٟتۍ بَرتھ۔
69,یہِ نۆو چیپک ہیکِہِ داتوٗس شیشس سٟتۍ جوڈِتھ۔
70,تٔمِس مِلِہ جادو شو خٲطرہ مُفت ٹِکَٹ۔
71,سۆہ چھُ اکھ اَصٕل بالر۔
72,تٔمِہ کٔر صُبحہِ پیٹھہِ شام تام کٲم۔
73,کِتاب چھِ چھاپہِ خانَس مَنز چھاپہِ یِوان کَرنہٕ۔
74,تٔمِس چھُ تُہُنٛد بَروَسہِ تہٕ مَضبوٗطی پَسَند۔
75,بہٕ اوسُس پننِس اِمتحان کِس نتیجَس سٟتۍ واریاہ مایوٗس۔
76,خوش قِسمتی سٟتۍ روٗد موسم اَصٕل۔
77,تٔمِس چھُ موٗسیقی ہُنٛد واریاہ شۆق۔
78,سۆہ چھُ پارٹی ہُنٛد اکھ وَفادار حِمایَتی۔
79,اُمید چھِ زِ سۆہ یِیِہ یَتھ جاے وَقتہٕ وَقتہٕ۔
80,تِمَن ہِنٛز ناو گۆو ندی مَنز نێبَر۔
81,ہوشیار رۆو تِکازی سۆہ چھُ واریاہ حَساس۔
82,سۆہ چھُ یَتھ عَلاقُک مالِک، یتھہِ پٲٹھۍ پَزِ سٲرِنۍ تٔمِس مانُن۔
83,تٔمِس ہُنٛد لِباس چھُ کینٛہہ حَد تام پُران۔
84,تٔمِہ نِیوت گریجویشن مَنز آرٹس۔
85,میٛون کَنٹھ اوس خُشک، یتھہِ پٲٹھۍ میہ چۆت اکھ کۄپ آب۔
86,اپوز وَنُن چھُ اکھ فَن۔
87,خوشگوار یاد چھِ زیٹھِ وَقت تام روزان۔
88,ڈاکٹر ووت مُقرر وَقتَس پؠٹھ۔
89,سانی صِرَف اکھ فِکر چھِ بَچَن ہِنٛز فلاح۔
90,سِپاہیَن آو وَننہٕ زِ گراؤنڈَس مَنز مۆوجوٗد روزُن۔
91,سۆہ چھُ یَژھان زیٛادٕ کھۆتہٕ زیٛادٕ نفعہٕ کَمانُن۔
92,تِمَو کٔر چۆوان وول چھَتھ ٹھیک کَرنہِ ہِنٛز کوشِش۔
93,تٔمِہ کٔر پننؠن جَذباتَن ہِنٛز وَضاحَت صٲف پٲٹھۍ۔
94,میہ رۆٹِو مَضبوٗطی سٟتۍ۔
95,میہ چھِ جیبَس مَنز وُہ پاونڈ۔
96,آل اِنڈیا اورینٹل کانفرنس چھِ چَلان۔
97,یِمَن دون واقعہن مَنز چھُنہٕ کانہہ تَعَلُق۔
98,فَرش صٲف کٔرِو۔
99,بہٕ چھُس روزانہٕ سکوٗل گَژھان۔
100,نَقادَو وُچھ کِتاب تہٕ تٔمِہ پؠٹھ دِیوت پنُن خیال۔
101,اَز چھُ مُسلمانَن خٲطرہ عیدُک دۆہ۔
102,اَسہِ چھُ کینٛہہ خام تیل ضروٗرت۔
103,اَسہِ کَرۆو تٔمِس خٲطرہ ضَمانَت۔
104,یۆس کَتھ دیمَن وَنان چھِو، تٔمِہ پؠٹھ کٔرِو پانہٕ عمل۔
105,ظٲہِری پٲٹھۍ چھِ تِمَو کینٛہہ وَقتہٕ خٲطرہ شَہَر تروومُت۔
106,پوٗلِسَن کۄر چور سارِوئی طَرفہٕ بَنٛد۔
107,تٔمِہ پۆرم کالجَس مَنز دِنیات۔
108,یِمَن سَنترَن مَنز چھِ قُدرتی مِٹھاس۔
109,تٔمِہ دِیوت اَسہِ اکھ اَصٕل خیال۔
110,کُلِس پؠٹھ چھُ جانور بٲتھ گیوان۔
111,یَتہِ پیٹھہِ کۄتہٕ دوٗر چھُ پوسٹ آفس؟
112,تٔمِس ہُنٛد تَعَلُق اَتھ تَنظیم سٟتۍ اوس واریاہ کَمزور۔
113,سۆہ چھُ اَتھ عِمارتَس مَنز چوکیدار۔
114,کَنٹرول پینلَس مَنز نَقس کیوجہ سٟتۍ پۆرم جہازَس دَرمیان مَنز تاران۔
115,ہسپتالَس مَنز چھُ بَچَن پَرناونہٕ خٲطرہ اکھ اُستاد۔
116,گھاس ٲس اۆل۔
117,اَلماٲرِ مَنز چھِ سفید مۆج۔
118,تِمَو اۆن کَمَرَس مَنز ٹرالی پؠٹھ ناشتہٕ۔
119,یِتھہِ پٲٹھۍ اَفواہن پؠٹھ یَقین کَرُن گَژھِ بیوقوٗفی۔
120,تٔمِہ وُچھ چِڑیا گھرَس مَنز اکھ رۆس۔
121,میڈم، کیاہ بہٕ ہیکہِ تُہُنٛد بَیگ تُلِتھ؟
122,سۆہ اوس تھۆکمُت تہٕ پَریشان۔
123,تٔمِہ کۄر پانہٕ پانہٕ پَریشان۔
124,یومِ جۆمہوٗریہ پؠٹھ اوس آتش بازی ہُنٛد مُظاہرہ۔
125,فِکِر مَکَرِو، سٲری کینٛہہ گَژھِ ٹھیک۔
126,تٔمِس کتیہِ پیٹھہِ مِلِہ یہِ پین؟
127,گھرِ چھُ کُلؠن سٟتۍ گِھیرِتھ۔
128,خَراب صِحَت ہیکِہِ کامیابی مَنز رُکاوٹ بَنِتھ۔
129,بی گریڈ تہٕ تَمِہ پیٹھہِ چھِ تَسلی بَخش ماننہٕ یِوان۔
130,تٔمِس ہِنٛزِ ناشُکری ہِنٛدِ وجہ سٟتۍ چھُ سارِوئی تٔمِس ناپَسَند کَران۔
131,تٔمِہ کِنیہِ پننِس زاہ دۆہَس پؠٹھ اَصٕل چیٖز۔
132,یِمَن گاڑیَن ہِنٛز حِفاظَت چھِ واریاہ اَصٕل۔
133,سۆہ چھِ ہَمیشہٕ تٔمِس سٟتۍ زورہٕ سٟتۍ بولان۔
134,بہٕ کِتھہِ کٔنۍ وٲتھِہ ہوائی اڈہ تام۔
135,اسٹیشن نَزدیٖک گۆو ریل ہِنٛز رَفتار کَم۔
136,کُس پٲگَل ہیکِہِ ریل پَٹری پؠٹھ گاڑی ترووِتھ؟
