ID,kashmiri_text
41,مےٚ چھ حکامن سۭتۍ گھرٕ منٛز کٲم کرنک انتظام کوٚرمت ۔
42,ونکیٚنس چھ سہ بیرونی ملکن منٛز کٲم کران ۔
43,گندھک کر اصل پٲٹھۍ مل ۔
44,اتھ بچس کریو نہٕ سوٗر ۔
45,بہٕ ہیٚکہٕ نہٕ ؤنتھ ز تم کیا چھ ونان تکیاز تم ٲس وسوز کران ۔
46,تمو کٔر پنٕنۍ مطالبات زورٕ سان پیش ۔
47,فلمہ ہنٛز آواز تہٕ تصویر گژھ ہم آہنگی منٛز آسنچ ضرورت ۔
48,تہنز زبان چھے سفید ۔
49,اسہ ملیوٚو باغس منٛز اکھ کچھوٕ ۔
50,اسہ چھ أکس خوبصورت ولاس منٛز تھاونہٕ آمت ۔
51,بہٕ گوٚو نہٕ صرف مایوس ۔ بہٕ گوٚو پوٗرٕ پٲٹھۍ تباہ ۔
52,أمۍ کوٚر یہ مشکٕل اصل پٲٹھۍ برداشت ۔
53,اسہ ہیکہ اضٲفی چیز تہٕ ننٕچ ضرورت پیتھ ۔
54,مے چھ اکھ شاندار خیال ۔
55,پین کریو تیلہٕ سۭتۍ چکنا ۔
56,گامٕکہ لوکھ ٲسہ رہنما سند ینہٕ پیٹھ خوش ۔
57,کینٛہہ چھ فکر مند ز ٹیکسس منٛز اضافہٕ سۭتۍ گژھ معیشت کمزور ۔
58,یم سٲری چھ واریاہ غریب ۔
59,آب کس بہاوس کنٹرول کرنہٕ خٲطرٕ آو دریاوس اپارٕ اکھ وایر بناونہٕ ۔
60,أمۍ سٕنٛز موج ٲس أمس ؤچھان ۔
61,فوجس خٲطرٕ اوس أکس پختہ دشمنس سۭتۍ لڑنہٕ مشکل ۔
62,بچہٕ چھ خاندانس منٛز پوشن ہنٛدۍ پٲٹھۍ آسان ۔
63,شہزادٕ ایڈورڈ سنٛد خانٛدر اوس ساسہٕ بٔدۍ لوکو ؤچھمت ۔
64,گھرک فرش چھ صاف تھاونہٕ یوان ۔
65,أمۍ دیت گاڑۍ ڈرائیورس ۔
66,مےٚ چھ آن لائن لائبریری تام رسٲیی ۔
67,فوٗجیٚن کوٚر راتھس منٛز دٔریاو پار ۔
68,استاد سنٛد بیان اوس شرارتس منٛز ۔
69,یہ نوٚو چپک ہٮ۪کہ دھاتس شیشس سۭتۍ جوڑتھ ۔
70,أمس ملے میجک شو باپتھ مفٕط ٹکٹ ۔
71,سہ چھ اکھ اصل بالر ۔
72,سہ اوس صبحٕ پیٹھ شامس تام کٲم کران ۔
73,کتابہٕ چھ پرنٹنگ پریسس منٛز پرنٹ یوان کرنہٕ ۔
74,أمس چھ تہنٛد اعتماد تہٕ استقامت پسند ۔
75,بہٕ گوٚو پنٛنس امتحانن ہنٛدس نٔتیٖجس پٮ۪ٹھ واریاہ مایوس ۔
76,خوش قسمتی سان رود موسم اصل ۔
77,أمس چھ موسیقی ہنٛد شوق ۔
78,سہ چھ پارٹی ہنٛد وفادار حمایتی ۔
79,امیدٕ چھ یوان کرنہٕ ز سۄ کر اتھ جایہ کنہ وز دورٕ ۔
80,تہنٛد ناو گوٚو دریاوس منٛز ۔
81,احتیاط کریو ز تو٘ہہ کیا چھ ونان تکیاز سہ چھ دلکش ۔
82,سہ چھ امہ علاقک مٲلکھ ، لہذا پرٛٮ۪تھ کٲنٛسہ چھ أمۍ سٕنٛز اطاعت کرٕنۍ ۔
83,أمۍ سنٛد پوشاک چھ کٲنٛسہ حدس تام پلو دار ۔
84,أمۍ کوٚر گریجویشنس منٛز آرٹس کورس ۔
85,میٚون گوٚٹھ اوس سوٚکھ ، امہ کنہ تل مےٚ آبک بو٘ر ۔
86,جھوٹ بولنہٕ چھ فن ۔
87,خوشگوار یاداشتہٕ چھ زیٹھ روزان ۔
88,ڈاکٹر ووت مقرر وقتس پیٹھ ۔
89,سانہ چھ وٲحد تشویش بچن ہنٛز بھلائی ۔
90,سپاہ آیہ مشعلہٕ خٲطرٕ زمینس پٮ۪ٹھ موجود روزنہٕ خٲطرٕ وننہٕ ۔
91,سہ چھ زیادٕ کھوتہٕ زیادٕ منافہٕ کماون یژھان ۔
92,تمو کٔر ژلن واجیٚنۍ چھت ژٹاونٕچ کوٗشش ۔
93,أمۍ کوٚر پنٛنیٚن جذباتن ہنٛد واضح اظہار ۔
94,مےٚ تھٲوو زورٕ سان ۔
95,میٲنس جیبس منٛز چھ 20 پاؤنڈ ۔
96,آل انڈیا اورینٹل کانفرنس چھ جٲری ۔
97,یمن دۄن واقعاتن درمیان چھنہٕ کانٛہہ تعلق ۔
98,فرش کر صاف ۔
99,بہٕ چھس پرٛٮ۪تھ دۄہ سکول گژھان ۔
100,ناقدین کوٛر یمن ڪتابن پیٹھ توجہ تہٕ یمن ہنٛد جأئزٕ ۔
101,یہ چھ از مسلمانن خٲطرٕ اکھ تہوار ۔
102,اسہ چھ کینٛہہ خام تیلٕچ ضرورت ۔
103,أسۍ کریو أمۍ سٕنٛد خٲطرٕ تصدیٖق ۔
104,تو٘ہہ یم تبلیغ چھو کران تمن پیٹھ عمل کریو ۔
105,وٗچھنہٕ چھ یوان ز تم چھ کینٛہہ وقتہٕ شہر ترٲوتھ آمتۍ ۔
106,چور اوس پولیسن گھیرتھ ۔
107,تٔمۍ کٔر کالجس منٛز تھیولوجی ہنٛز تعلیم حٲصل ۔
108,یمن سنگورن منٛز چھ قدرتی مٹھاس آسان ۔
109,تٔمۍ دیت اسہ اکھ روشن خیال ۔
110,پردٕ چھ کلس پٮ۪ٹھ بٲتھ دوان ۔
111,ییتہٕ پٮ۪ٹھٕ پوسٹ آفس کتھ حدس تام چھ ۔
112,تنظیمس سۭتۍ گوٚو تہنٛد تعلق کمزور ثٲبت ۔
113,یہ چھ اتھ عمارتس منٛز اکھ چوکیدار ۔
114,کنٹرول پینلس منٛز کٔمی آسنہٕ کنہ چھ ہوٲئی جہازس بیچس منز لینڈنگ کرٕنۍ ۔
115,ہسپتالس منٛز بچن ہیٚچھناونہٕ خٲطرٕ چھ اکھ ٹیچر ۔
116,گھاس اوس گیلے ۔
117,الماری منٛز چھ سفید چٹیہٕ ۔
118,تمو اوٚن ٹرٛالی پیٚٹھ کمرس منٛز ناشتہ ۔
119,یتھٮ۪ن افواہن پٮ۪ٹھ یقین کرن آسہ بیوقوفی ۔
120,تٔمۍ وچھ چڑیا گھرس منٛز اکھ ہرن ۔
121,کیٛاہ بہٕ ہٮ۪کا تہنٛد بیگ نتھ ، میڈم ۔
122,سہ اوس تھکمت تہٕ پریشان ۔
123,أمۍ چھ پانس خوفس منٛز مبتلا کوٚرمت ۔
124,یوم جمہوریہس پٮ۪ٹھ ٲس نارٕچ نمٲئش کرنہٕ آمٕژ ۔
125,فکر کریو مت ز سٲری گژھ ٹھیک ۔
126,أمۍ کتہ پیٚٹھٕ حٲصل کوٚر بایو ۔ ۔ ۔ ۔
127,گرٕ چھ أنٛدۍ پٔکھۍ کلۍ کٔٹۍ ۔
128,خراب صحت ہیکہٕ کامیٲبی منٛز رکاوٹ بنتھ ۔
129,گریڈ B تہٕ امہٕ کھوتہٕ ہیرٕ چھ تسلی بخش سمجھنہٕ یوان ۔
130,أمہ سٕنٛز نا شکری خٲطرٕ چھ پرٛٮ۪تھ کانٛہہ أمس ناپسند کران ۔
131,أمۍ چھ پننس زایہٕ دوہ فینسی حٲصل کرمژٕ ۔
132,یمن گاڑٮ۪ن ہنٛد ہتھیار چھ کٲفی حفاضتی ۔
133,سۄ چھےٚ ہمیشہٕ أمس سۭتۍ بڑس آوازس منٛز کتھ کران ۔
134,بہٕ کتھ کٔنۍ ہٮ۪کہٕ ایر فیلڈ تام واتتھ ۔
135,سٹیشنس نزدیٖک گٔیہ ریل گاڑۍ ہنٛز رفتار منٛز کٔمی ۔
136,ریلوے ٹریکس پٮ۪ٹھ کمہ قٕسمٕچ نٹ چھوڑے گاڑ ۔
137,مےٚ چھ تہنٛد ٹایٔی پسند ۔
138,سۄ ہٮ۪کہ کنہ تہ دۄہ ینہٕ ۔
139,سہ چھ فرمس منٛز اعلی عہدٕ تھاوان ۔
140,أنٛد أنٛد أنٛد أنٛد أنٛد أنٛد أنٛد أنٛد أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ أنٛدۍ ۔
141,اسہ گژھ پٔتمہ اکہ دہکۍ سالانہٕ رپورٹہٕ ؤچھنٕچ ضٔروٗرت ۔
142,تمو ترٛوو سہ أکس گاڑ کس پتمس حصس منٛز ۔
143,مندر چھ عبادت خٲطرٕ اکھ اصل جاے ۔
144,کیا آرٹ میوزیم چھا پرٛٮ۪تھ دۄہ یلہٕ ؟
145,دہشت گردن ہنٛد مقصد چھ لکن خوفزدہ کرن ۔
146,چوری گیہ دۄہ کس روشنس منٛز ۔
147,پلیٖسن کوٚر مجرمس مارنہٕ خٲطرٕ ٹرٛنٛچنک استعمال ۔
148,کلٮ۪ن ہنٛز اکھ گٮ۪نٛڑ آبٲدی بنٲو جھونپڑی ۔
149,پولیسن کٔر قتل کیسٕچ تفصیلن یکجا کرنہٕ باپتھ سراغ جمع ۔
150,أکۍ رپورٹرن دژ یہ دٔلیٖل ۔
